TIME_PERIOD,Net Migration (World Bank),Air Passenger Transport,Population,Employment,Emigration of Citizens,Exports (National Accounts),GDP (Quarterly),Energy Prices,Inflation (HICP Manufacturing),Road Passenger Transport,Industrial Production Index,Retail Trade Turnover,Tourist Overnight Stays,Freight Transport,Unemployment Rate
2015-08-01,,12732272.0,,,,,,,127.10000000000001,,48730.4,22083.2,2517870.6799999997,,1493.5
2015-09-01,,11138328.0,,,,,,,45.0,,50449.5,22622.3,1489501.7,,1511.3
2015-10-01,,38560332.0,,54812.1,,,2150891.295,,66.8,,51463.2,22789.7,1347731.6300000001,,1531.9
2015-11-01,,8894916.0,,,,,,,77.6,,49263.9,21593.7,1091125.15,,1546.7
2015-12-01,,8823160.0,,,,,,,297.1,,48434.5,22274.6,1138281.64,,1540.9
2016-01-01,-12327.0,159223104.0,7875828.0,54546.4,361306.0,932435.8,1977362.987,395.3666,211.20000000000002,16478.8,45917.8,20458.8,1044809.69,85.3,1525.4
2016-02-01,,7951472.0,,,,,,,107.5,,46707.8,20726.0,986268.9400000001,,1503.6
2016-03-01,,9745956.0,,,,,,,157.5,,50235.4,21952.0,1174568.56,,1474.9
2016-04-01,,42988556.0,,54354.6,,,2132095.804,,33.0,,52170.6,21606.0,1289328.52,,1458.4
2016-05-01,,11059316.0,,,,,,,83.0,,51236.2,22638.4,1630740.84,,1453.4
2016-06-01,,12192576.0,,,,,,,151.1,,51793.3,22526.1,2115611.64,,1465.2
2016-07-01,,49682388.0,,54065.0,,,2168313.243,374.8479,254.2,,51492.3,22373.4,2951443.96,,1486.2
2016-08-01,,12698136.0,,,,,,,181.7,,52587.1,23069.5,2721839.82,,1483.8
2016-09-01,,11537468.0,,,,,,,292.5,,53471.6,22504.2,1618600.02,,1467.2
2016-10-01,,39954756.0,,53933.8,,,2234294.4,,399.1,,56543.8,22704.8,1458064.49,,1428.9
2016-11-01,,8841620.0,,,,,,,412.2,,55403.9,22119.7,1159960.28,,1409.1
2016-12-01,,9209504.0,,,,,,,604.4,,55386.0,24205.5,1255973.8,,1412.6
2017-01-01,-7867.0,175194412.0,7800464.0,53783.0,596838.0,998496.7000000001,2068676.966,344.8737,779.3,17509.0,51365.2,21885.4,1165412.52,80.7,1404.2
2017-02-01,,7986772.0,,,,,,,784.7,,53052.1,21737.3,1073206.64,,1385.1
2017-03-01,,9837136.0,,,,,,,782.5,,59480.3,23448.4,1199027.23,,1362.7
2017-04-01,,48934612.0,,53991.4,,,2234147.832,,872.0,,58470.8,23049.5,1489414.2,,1339.8
2017-05-01,,12394584.0,,,,,,,744.8,,60652.8,23978.9,1813355.35,,1341.6
2017-06-01,,13746732.0,,,,,,,805.3,,62192.7,23662.6,2502996.65,,1344.5
2017-07-01,,56848488.0,,54238.1,,,2311082.814,356.7188,735.8,,58157.8,23458.0,3405915.9899999998,,1337.8
2017-08-01,,14597876.0,,,,,,,886.6,,61702.5,25607.0,3180057.42,,1327.4
2017-09-01,,13173596.0,,,,,,,751.4,,61711.1,24140.5,1880555.39,,1305.5
2017-10-01,,46686716.0,,54254.8,,,2347185.531,,757.7,,63572.3,24433.6,1563624.97,,1284.4
